"words","frequency","first","second","third"
"we love hear",2,"we","love","hear"
"we love share",2,"we","love","share"
"we need help",3,"we","need","help"
"we need one",2,"we","need","one"
"we need take",2,"we","need","take"
"we never learn",2,"we","never","learn"
"we really appreciate",2,"we","really","appreciate"
"we wait see",2,"we","wait","see"
"we walk back",2,"we","walk","back"
"we want know",2,"we","want","know"
"we will back",2,"we","will","back"
"week ago i",2,"week","ago","i"
"week i will",2,"week","i","will"
"week want see",3,"week","want","see"
"weeks ago i",5,"weeks","ago","i"
"welcome new fans",2,"welcome","new","fans"
"welcome new followers",2,"welcome","new","followers"
"well can just",2,"well","can","just"
"well can still",3,"well","can","still"
"well i just",2,"well","i","just"
"well i know",4,"well","i","know"
"well i need",4,"well","i","need"
"well i think",5,"well","i","think"
"well i want",2,"well","i","want"
"well now i",3,"well","now","i"
"well see happens",2,"well","see","happens"
"went back got",2,"went","back","got"
"went grocery shopping",2,"went","grocery","shopping"
"went one better",2,"went","one","better"
"went really well",2,"went","really","well"
"were going get",2,"were","going","get"
"were open pm",2,"were","open","pm"
"west coast ipa",2,"west","coast","ipa"
"wet n wild",2,"wet","n","wild"
"wet wet wet",6,"wet","wet","wet"
"what beautiful day",2,"what","beautiful","day"
"what better way",2,"what","better","way"
"what can i",6,"what","can","i"
"what effect upon",2,"what","effect","upon"
"what great night",2,"what","great","night"
"what happen grace",2,"what","happen","grace"
"what happened can",2,"what","happened","can"
"what i enjoy",2,"what","i","enjoy"
"what i find",2,"what","i","find"
"what i saw",2,"what","i","saw"
"what know resurrection",2,"what","know","resurrection"
"what looking forward",2,"what","looking","forward"
"what makes you",2,"what","makes","you"
"what plans weekend",2,"what","plans","weekend"
"what wrong people",2,"what","wrong","people"
"whats best way",2,"whats","best","way"
"whats favorite thing",2,"whats","favorite","thing"
"whats weather like",2,"whats","weather","like"
"when i first",5,"when","i","first"
"when i found",2,"when","i","found"
"when i get",3,"when","i","get"
"when i got",3,"when","i","got"
"when i growing",2,"when","i","growing"
"when i little",2,"when","i","little"
"when i looked",2,"when","i","looked"
"when i read",2,"when","i","read"
"when i started",3,"when","i","started"
"when i took",2,"when","i","took"
"when i watch",2,"when","i","watch"
"when last time",2,"when","last","time"
"where can i",6,"where","can","i"
"where ya gunna",2,"where","ya","gunna"
"which makes want",2,"which","makes","want"
"while i think",2,"while","i","think"
"whisper white card",2,"whisper","white","card"
"white card stock",3,"white","card","stock"
"who else going",2,"who","else","going"
"who knew i",2,"who","knew","i"
"who knows maybe",2,"who","knows","maybe"
"whole family involved",2,"whole","family","involved"
"whole lot i",2,"whole","lot","i"
"whole new level",2,"whole","new","level"
"whole time even",2,"whole","time","even"
"whole wheat flour",2,"whole","wheat","flour"
"whos fave character",2,"whos","fave","character"
"whose parent dying",2,"whose","parent","dying"
"wht ds r",2,"wht","ds","r"
"why am i",2,"why","am","i"
"why are you",2,"why","are","you"
"why cant i",2,"why","cant","i"
"why seem like",2,"why","seem","like"
"why yes i",3,"why","yes","i"
"wife children parents",2,"wife","children","parents"
"wiggle wiggle wiggle",4,"wiggle","wiggle","wiggle"
"will actually get",2,"will","actually","get"
"will always find",2,"will","always","find"
"will always love",3,"will","always","love"
"will believe things",2,"will","believe","things"
"will bring home",2,"will","bring","home"
"will come back",2,"will","come","back"
"will come true",2,"will","come","true"
"will fall love",2,"will","fall","love"
"will find way",2,"will","find","way"
"will follow back",4,"will","follow","back"
"will follow suit",2,"will","follow","suit"
"will get kick",2,"will","get","kick"
"will give us",2,"will","give","us"
"will go say",2,"will","go","say"
"will greatly missed",2,"will","greatly","missed"
"will help get",2,"will","help","get"
"will help prevent",2,"will","help","prevent"
"will help us",3,"will","help","us"
"will i see",2,"will","i","see"
"will joining us",2,"will","joining","us"
"will just get",2,"will","just","get"
"will last time",2,"will","last","time"
"will let know",2,"will","let","know"
"will look like",2,"will","look","like"
"will make dream",2,"will","make","dream"
"will make feel",2,"will","make","feel"
"will never buy",2,"will","never","buy"
"will never change",2,"will","never","change"
"will never know",2,"will","never","know"
"will open everyone",2,"will","open","everyone"
"will post pictures",2,"will","post","pictures"
"will probably never",2,"will","probably","never"
"will say ceo",2,"will","say","ceo"
"will say i",2,"will","say","i"
"will see i",3,"will","see","i"
"will stay upallnight",2,"will","stay","upallnight"
"will take time",4,"will","take","time"
"will u get",2,"will","u","get"
"will work harder",2,"will","work","harder"
"will you please",2,"will","you","please"
"winner will receive",2,"winner","will","receive"
"winning gop republican",2,"winning","gop","republican"
"wish happy birthday",3,"wish","happy","birthday"
"wish i go",2,"wish","i","go"
"wish i hear",2,"wish","i","hear"
"wish i just",2,"wish","i","just"
"wish much success",2,"wish","much","success"
"wish see world",2,"wish","see","world"
"wishing everyone happy",2,"wishing","everyone","happy"
"with love momentum",2,"with","love","momentum"
"with mind i",2,"with","mind","i"
"with mothers day",2,"with","mothers","day"
"with said i",2,"with","said","i"
"within next years",2,"within","next","years"
"without saying i",2,"without","saying","i"
"witness protection program",2,"witness","protection","program"
"women legal profession",2,"women","legal","profession"
"work couple hours",2,"work","couple","hours"
"work full time",2,"work","full","time"
"work harder day",2,"work","harder","day"
"work harder get",2,"work","harder","get"
"work i want",2,"work","i","want"
"work i wanted",2,"work","i","wanted"
"work incredibly pleased",2,"work","incredibly","pleased"
"work one extraordinary",2,"work","one","extraordinary"
"work right now",2,"work","right","now"
"working conditions korean",2,"working","conditions","korean"
"world trade center",3,"world","trade","center"
"world war ii",5,"world","war","ii"
"worlds happiest girl",2,"worlds","happiest","girl"
"would love get",2,"would","love","get"
"would love hear",2,"would","love","hear"
"wouldn’t wear old",2,"wouldn’t","wear","old"
"wrote i thought",2,"wrote","i","thought"
"x x x",19,"x","x","x"
"ya gunna go",2,"ya","gunna","go"
"yeah i just",2,"yeah","i","just"
"yeah i know",4,"yeah","i","know"
"yeah i like",2,"yeah","i","like"
"year i don’t",2,"year","i","don’t"
"year i going",2,"year","i","going"
"year i good",2,"year","i","good"
"year i just",2,"year","i","just"
"year i purchased",2,"year","i","purchased"
"year old girl",2,"year","old","girl"
"year old home",2,"year","old","home"
"year old niece",2,"year","old","niece"
"year since i",3,"year","since","i"
"yearold boy yearold",2,"yearold","boy","yearold"
"yearold yearold yearold",2,"yearold","yearold","yearold"
"years ago i",8,"years","ago","i"
"years ago just",2,"years","ago","just"
"years i never",2,"years","i","never"
"years since i",2,"years","since","i"
"years without success",2,"years","without","success"
"yellow green blue",2,"yellow","green","blue"
"yes i agree",2,"yes","i","agree"
"yes i believe",2,"yes","i","believe"
"yes i can",3,"yes","i","can"
"yes i got",2,"yes","i","got"
"yes i know",6,"yes","i","know"
"yes i still",2,"yes","i","still"
"yes i will",3,"yes","i","will"
"yes will still",2,"yes","will","still"
"yes yes yes",4,"yes","yes","yes"
"yesterday i found",2,"yesterday","i","found"
"yesterday morning i",3,"yesterday","morning","i"
"yo dawg i",2,"yo","dawg","i"
"yo kids hide",2,"yo","kids","hide"
"you are the",2,"you","are","the"
"you at school",2,"you","at","school"
"you can add",2,"you","can","add"
"you can also",6,"you","can","also"
"you can call",2,"you","can","call"
"you can change",2,"you","can","change"
"you can check",2,"you","can","check"
"you can even",2,"you","can","even"
"you can find",2,"you","can","find"
"you can get",3,"you","can","get"
"you can imagine",2,"you","can","imagine"
"you can kill",2,"you","can","kill"
"you can purchase",2,"you","can","purchase"
"you can read",3,"you","can","read"
"you can see",5,"you","can","see"
"you can take",2,"you","can","take"
"you can tell",2,"you","can","tell"
"you can use",3,"you","can","use"
"you can’t make",2,"you","can’t","make"
"you don’t want",3,"you","don’t","want"
"you get paid",2,"you","get","paid"
"you just made",2,"you","just","made"
"you know i",9,"you","know","i"
"you know im",3,"you","know","im"
"you know like",3,"you","know","like"
"you know love",2,"you","know","love"
"you light world",2,"you","light","world"
"you look amazing",2,"you","look","amazing"
"you made day",2,"you","made","day"
"you might think",2,"you","might","think"
"you must able",2,"you","must","able"
"you must make",2,"you","must","make"
"you need to",2,"you","need","to"
"you never know",4,"you","never","know"
"you please follow",2,"you","please","follow"
"you will always",2,"you","will","always"
"you will just",2,"you","will","just"
"you will missed",2,"you","will","missed"
"you will need",2,"you","will","need"
"you will rock",2,"you","will","rock"
"your divine grace",4,"your","divine","grace"
"your favorite song",2,"your","favorite","song"
"youve got go",2,"youve","got","go"
